sample_id,category,defect_type,dice,iou,precision,recall,predicted_positive_rate,search_region_recall,pixel_auroc,pixel_ap,aupro,disposition,confidence
macaroni2/bad/014,macaroni2,bad,0.043367003367003366,0.022164096916299558,0.022250886810706225,0.8503521126760564,0.014471333333333333,0.0,0.976617654100982,0.007958234904422486,0.9220994512240093,needs_review,0.35019617764879385
macaroni2/bad/015,macaroni2,bad,0.016052685737806133,0.008091286307053943,0.008091415439122871,0.9980314960629921,0.041772666666666666,1.0,0.9820514457011593,0.008772053032732714,0.9400858481725057,needs_review,0.1970500428178221
macaroni2/bad/016,macaroni2,bad,0.0,0.0,0.0,0.0,0.016368,1.0,0.9918423812224723,0.029875864447905767,0.972786049048106,needs_review,0.3977415406936416
macaroni2/bad/017,macaroni2,bad,0.035514317709166535,0.01807817589576547,0.01809143509086464,0.961038961038961,0.024542,1.0,0.9907500511989786,0.028404449066965487,0.9692786137262981,needs_review,0.3122390657028515
macaroni2/bad/018,macaroni2,bad,0.01103636494218477,0.0055488017717649045,0.0055488017717649045,1.0,0.05538733333333333,0.0,0.9941185727739761,0.04494548442194381,0.980160931746165,needs_review,0.29020042786769723
macaroni2/bad/019,macaroni2,bad,0.022187588204253438,0.011218247024806722,0.011218247024806722,1.0,0.053722,0.0,0.99240398887771,0.06217556157506572,0.9745688239733379,needs_review,0.27746918309449325
macaroni2/bad/020,macaroni2,bad,0.03196754563894523,0.0162434036939314,0.016296255445872168,0.8335684062059239,0.024177333333333332,0.0,0.9833311018915185,0.013358840918984476,0.9446082512537639,needs_review,0.2840349040003245
macaroni2/bad/021,macaroni2,bad,0.012610426669856296,0.0063452213089383366,0.006357684355616816,0.7639751552795031,0.038693333333333337,1.0,0.9739361402183787,0.0066123771017716024,0.9131556749343872,needs_review,0.29623801667979666
macaroni2/bad/022,macaroni2,bad,0.012352909855705235,0.0062148406107688185,0.006280114774511396,0.3741935483870968,0.024628,1.0,0.9644130993498818,0.006401841687184724,0.8811836441357931,soft_mask_only,0.4586794499326796
macaroni2/bad/023,macaroni2,bad,0.004375658374523945,0.002192626279031996,0.002218509490290597,0.158203125,0.024340666666666667,0.0,0.9657967035300132,0.004627863039374609,0.8858201901117961,needs_review,0.45047359771878276
macaroni2/bad/024,macaroni2,bad,0.0,0.0,0.0,0.0,0.028092,0.0,0.9882535649154324,0.015580310681565157,0.9611073136329651,soft_mask_only,0.4702274405977307
macaroni2/bad/025,macaroni2,bad,0.05831238145648626,0.030031803725579283,0.030031803725579283,1.0,0.014673333333333333,1.0,0.9848565915550568,0.014101525087510954,0.9494474530220032,needs_review,0.33593562231274693
macaroni2/bad/026,macaroni2,bad,0.010941521130408041,0.005500854422654407,0.005501570714715888,0.976878612716763,0.040958,0.0,0.9877324226873111,0.013993000501099747,0.9589490294456482,needs_review,0.1133549941439828
macaroni2/bad/027,macaroni2,bad,0.015778880987521803,0.007952178734683941,0.00795691358358819,0.930379746835443,0.024632666666666667,1.0,0.9891769140293826,0.010348573501344615,0.9631598989168804,soft_mask_only,0.48444374881296326
macaroni2/bad/028,macaroni2,bad,0.011774025132322759,0.005921874717035803,0.005923483805521339,0.956140350877193,0.036802666666666664,1.0,0.9862534505820544,0.00921847635224985,0.9542703628540039,needs_review,0.22545406375612695
macaroni2/bad/029,macaroni2,bad,0.014820982514571191,0.0074658166261219695,0.007466025390078855,0.996268656716418,0.047682666666666665,1.0,0.9896278241484658,0.018005341028834117,0.9653086463610332,soft_mask_only,0.4702274405977307
macaroni2/bad/030,macaroni2,bad,0.010545288246845828,0.005300592260053547,0.005309350958933795,0.7626459143968871,0.024610666666666666,1.0,0.9799224472054876,0.004803562288896706,0.9331842263539633,soft_mask_only,0.4702274405977307
macaroni2/bad/031,macaroni2,bad,0.01609797839341106,0.008114301118749157,0.008114301118749157,1.0,0.02473,0.0,0.9989500805675515,0.2847208174555851,0.9956361850102743,soft_mask_only,0.4702274405977307
